Indicator,Company,Year,Value,Category,Category 2
    2. Short-term prepayments to suppliers,SAB,2021,30.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Short-term prepayments to suppliers,SAB,2022,68.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Short-term prepayments to suppliers,SCD,2020,15.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Short-term prepayments to suppliers,SCD,2021,1.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Short-term prepayments to suppliers,SCD,2022,0.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Short-term prepayments to suppliers,SMB,2020,22.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Short-term prepayments to suppliers,SMB,2021,5.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Short-term prepayments to suppliers,SMB,2022,7.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Short-term prepayments to suppliers,VCF,2020,1.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Short-term prepayments to suppliers,VCF,2021,1.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Short-term prepayments to suppliers,VCF,2022,1.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Short-term prepayments to suppliers,HAD,2020,0.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Short-term prepayments to suppliers,HAD,2021,0.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Short-term prepayments to suppliers,HAD,2022,0.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Short-term prepayments to suppliers,THB,2020,0.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Short-term prepayments to suppliers,THB,2021,9.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Short-term prepayments to suppliers,THB,2022,20.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Short-term prepayments to suppliers,VDL,2020,3.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Short-term prepayments to suppliers,VDL,2021,1.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Short-term prepayments to suppliers,VDL,2022,1.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Short-term prepayments to suppliers,HAT,2020,2.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Short-term prepayments to suppliers,HAT,2021,2.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Short-term prepayments to suppliers,HAT,2022,16.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Value added tax to be reclaimed,BHN,2020,7.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Value added tax to be reclaimed,BHN,2021,0.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Value added tax to be reclaimed,BHN,2022,32.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Value added tax to be reclaimed,SAB,2020,22.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Value added tax to be reclaimed,SAB,2021,25.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Value added tax to be reclaimed,SAB,2022,83.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Value added tax to be reclaimed,SCD,2021,4.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Value added tax to be reclaimed,SCD,2022,20.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Value added tax to be reclaimed,VCF,2020,8.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Value added tax to be reclaimed,VCF,2021,8.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Value added tax to be reclaimed,VDL,2020,0.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Value added tax to be reclaimed,VDL,2022,0.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Value added tax to be reclaimed,HAT,2020,1.0,ASSETS,   A. SHORT-TERM ASSETS
    2. Value added tax to be reclaimed,HAT,2022,2.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Held to maturity investments,BHN,2020,2386.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Held to maturity investments,BHN,2021,2443.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Held to maturity investments,BHN,2022,2972.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Held to maturity investments,SAB,2020,14547.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Held to maturity investments,SAB,2021,16991.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Held to maturity investments,SAB,2022,19411.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Held to maturity investments,SCD,2020,50.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Held to maturity investments,SMB,2020,40.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Held to maturity investments,SMB,2021,215.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Held to maturity investments,SMB,2022,220.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Held to maturity investments,VCF,2021,0.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Held to maturity investments,VCF,2022,0.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Held to maturity investments,HAD,2020,38.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Held to maturity investments,HAD,2021,37.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Held to maturity investments,HAD,2022,48.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Held to maturity investments,THB,2020,3.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Held to maturity investments,THB,2021,3.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Held to maturity investments,THB,2022,15.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Held to maturity investments,VDL,2022,1.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Held to maturity investments,HAT,2020,53.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Held to maturity investments,HAT,2021,55.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Held to maturity investments,HAT,2022,110.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Investments in other entities,BHN,2020,44.0,ASSETS,   B. LONG-TERM ASSETS
    3. Investments in other entities,BHN,2021,44.0,ASSETS,   B. LONG-TERM ASSETS
    3. Investments in other entities,BHN,2022,44.0,ASSETS,   B. LONG-TERM ASSETS
    3. Investments in other entities,SAB,2020,666.0,ASSETS,   B. LONG-TERM ASSETS
    3. Investments in other entities,SAB,2021,434.0,ASSETS,   B. LONG-TERM ASSETS
    3. Investments in other entities,SAB,2022,434.0,ASSETS,   B. LONG-TERM ASSETS
    3. Investments in other entities,SCD,2020,7.0,ASSETS,   B. LONG-TERM ASSETS
    3. Investments in other entities,SCD,2021,7.0,ASSETS,   B. LONG-TERM ASSETS
    3. Investments in other entities,SCD,2022,7.0,ASSETS,   B. LONG-TERM ASSETS
    3. Investments in other entities,THB,2020,0.0,ASSETS,   B. LONG-TERM ASSETS
    3. Investments in other entities,HAT,2020,8.0,ASSETS,   B. LONG-TERM ASSETS
    3. Investments in other entities,HAT,2021,8.0,ASSETS,   B. LONG-TERM ASSETS
    3. Investments in other entities,HAT,2022,8.0,ASSETS,   B. LONG-TERM ASSETS
"    3. Long-term equipment, supplies, spare parts",BHN,2020,2.0,ASSETS,   B. LONG-TERM ASSETS
"    3. Long-term equipment, supplies, spare parts",BHN,2021,2.0,ASSETS,   B. LONG-TERM ASSETS
"    3. Long-term equipment, supplies, spare parts",BHN,2022,2.0,ASSETS,   B. LONG-TERM ASSETS
"    3. Long-term equipment, supplies, spare parts",SAB,2020,29.0,ASSETS,   B. LONG-TERM ASSETS
"    3. Long-term equipment, supplies, spare parts",SAB,2021,20.0,ASSETS,   B. LONG-TERM ASSETS
"    3. Long-term equipment, supplies, spare parts",SAB,2022,19.0,ASSETS,   B. LONG-TERM ASSETS
"    3. Long-term equipment, supplies, spare parts",SCD,2020,2.0,ASSETS,   B. LONG-TERM ASSETS
"    3. Long-term equipment, supplies, spare parts",SCD,2021,2.0,ASSETS,   B. LONG-TERM ASSETS
"    3. Long-term equipment, supplies, spare parts",SCD,2022,2.0,ASSETS,   B. LONG-TERM ASSETS
    3. Taxes and other payables to state authorities,BHN,2020,265.0,OWNER'S EQUITY,   A. LIABILITIES
    3. Taxes and other payables to state authorities,BHN,2021,342.0,OWNER'S EQUITY,   A. LIABILITIES
    3. Taxes and other payables to state authorities,BHN,2022,438.0,OWNER'S EQUITY,   A. LIABILITIES
    3. Taxes and other payables to state authorities,SAB,2020,1257.0,OWNER'S EQUITY,   A. LIABILITIES
    3. Taxes and other payables to state authorities,SAB,2021,1417.0,OWNER'S EQUITY,   A. LIABILITIES
    3. Taxes and other payables to state authorities,SAB,2022,1621.0,OWNER'S EQUITY,   A. LIABILITIES
    3. Taxes and other payables to state authorities,SCD,2020,1.0,OWNER'S EQUITY,   A. LIABILITIES
    3. Taxes and other payables to state authorities,SCD,2021,0.0,OWNER'S EQUITY,   A. LIABILITIES
    3. Taxes and other payables to state authorities,SCD,2022,0.0,OWNER'S EQUITY,   A. LIABILITIES
    3. Taxes and other payables to state authorities,SMB,2020,123.0,OWNER'S EQUITY,   A. LIABILITIES
    3. Taxes and other payables to state authorities,SMB,2021,193.0,OWNER'S EQUITY,   A. LIABILITIES
    3. Taxes and other payables to state authorities,SMB,2022,184.0,OWNER'S EQUITY,   A. LIABILITIES
    3. Taxes and other payables to state authorities,VCF,2020,100.0,OWNER'S EQUITY,   A. LIABILITIES
    3. Taxes and other payables to state authorities,VCF,2021,37.0,OWNER'S EQUITY,   A. LIABILITIES
    3. Taxes and other payables to state authorities,VCF,2022,13.0,OWNER'S EQUITY,   A. LIABILITIES
    3. Taxes and other payables to state authorities,HAD,2020,2.0,OWNER'S EQUITY,   A. LIABILITIES
    3. Taxes and other payables to state authorities,HAD,2021,5.0,OWNER'S EQUITY,   A. LIABILITIES
    3. Taxes and other payables to state authorities,HAD,2022,3.0,OWNER'S EQUITY,   A. LIABILITIES
    3. Taxes and other payables to state authorities,THB,2020,17.0,OWNER'S EQUITY,   A. LIABILITIES
    3. Taxes and other payables to state authorities,THB,2021,27.0,OWNER'S EQUITY,   A. LIABILITIES
    3. Taxes and other payables to state authorities,THB,2022,28.0,OWNER'S EQUITY,   A. LIABILITIES
    3. Taxes and other payables to state authorities,VDL,2020,3.0,OWNER'S EQUITY,   A. LIABILITIES
    3. Taxes and other payables to state authorities,VDL,2021,2.0,OWNER'S EQUITY,   A. LIABILITIES
    3. Taxes and other payables to state authorities,VDL,2022,1.0,OWNER'S EQUITY,   A. LIABILITIES
    3. Taxes and other payables to state authorities,HAT,2020,3.0,OWNER'S EQUITY,   A. LIABILITIES
    3. Taxes and other payables to state authorities,HAT,2021,2.0,OWNER'S EQUITY,   A. LIABILITIES
    3. Taxes and other payables to state authorities,HAT,2022,2.0,OWNER'S EQUITY,   A. LIABILITIES
    3. Taxes and other receivables from state authorities,BHN,2020,285.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Taxes and other receivables from state authorities,BHN,2021,224.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Taxes and other receivables from state authorities,BHN,2022,142.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Taxes and other receivables from state authorities,SAB,2020,36.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Taxes and other receivables from state authorities,SAB,2021,29.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Taxes and other receivables from state authorities,SAB,2022,23.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Taxes and other receivables from state authorities,SCD,2021,0.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Taxes and other receivables from state authorities,SCD,2022,0.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Taxes and other receivables from state authorities,SMB,2020,0.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Taxes and other receivables from state authorities,SMB,2021,0.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Taxes and other receivables from state authorities,SMB,2022,0.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Taxes and other receivables from state authorities,VCF,2020,0.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Taxes and other receivables from state authorities,VCF,2021,0.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Taxes and other receivables from state authorities,HAD,2020,0.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Taxes and other receivables from state authorities,VDL,2020,1.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Taxes and other receivables from state authorities,VDL,2021,2.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Taxes and other receivables from state authorities,VDL,2022,1.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Taxes and other receivables from state authorities,HAT,2021,0.0,ASSETS,   A. SHORT-TERM ASSETS
    3. Taxes and other receivables from state authorities,HAT,2022,0.0,ASSETS,   A. SHORT-TERM ASSETS
    4. Inter-company payables on business capital,SCD,2020,169.0,OWNER'S EQUITY,   A. LIABILITIES
    4. Other capital of owners,SAB,2020,3.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
    4. Other capital of owners,SAB,2021,3.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
    4. Other capital of owners,SAB,2022,3.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
    4. Other capital of owners,SMB,2020,0.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
    4. Other capital of owners,SMB,2021,0.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
    4. Other capital of owners,SMB,2022,0.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
    4. Payable to employees,BHN,2020,176.0,OWNER'S EQUITY,   A. LIABILITIES
    4. Payable to employees,BHN,2021,167.0,OWNER'S EQUITY,   A. LIABILITIES
    4. Payable to employees,BHN,2022,183.0,OWNER'S EQUITY,   A. LIABILITIES
    4. Payable to employees,SAB,2020,361.0,OWNER'S EQUITY,   A. LIABILITIES
    4. Payable to employees,SAB,2021,218.0,OWNER'S EQUITY,   A. LIABILITIES
    4. Payable to employees,SAB,2022,190.0,OWNER'S EQUITY,   A. LIABILITIES
    4. Payable to employees,SCD,2020,3.0,OWNER'S EQUITY,   A. LIABILITIES
    4. Payable to employees,SCD,2021,2.0,OWNER'S EQUITY,   A. LIABILITIES
    4. Payable to employees,SCD,2022,0.0,OWNER'S EQUITY,   A. LIABILITIES
    4. Payable to employees,SMB,2020,27.0,OWNER'S EQUITY,   A. LIABILITIES
    4. Payable to employees,SMB,2021,25.0,OWNER'S EQUITY,   A. LIABILITIES
    4. Payable to employees,SMB,2022,25.0,OWNER'S EQUITY,   A. LIABILITIES
    4. Payable to employees,HAD,2020,2.0,OWNER'S EQUITY,   A. LIABILITIES
    4. Payable to employees,HAD,2021,3.0,OWNER'S EQUITY,   A. LIABILITIES
    4. Payable to employees,HAD,2022,4.0,OWNER'S EQUITY,   A. LIABILITIES
    4. Payable to employees,THB,2020,16.0,OWNER'S EQUITY,   A. LIABILITIES
    4. Payable to employees,THB,2021,15.0,OWNER'S EQUITY,   A. LIABILITIES
    4. Payable to employees,THB,2022,17.0,OWNER'S EQUITY,   A. LIABILITIES
    4. Payable to employees,VDL,2020,3.0,OWNER'S EQUITY,   A. LIABILITIES
    4. Payable to employees,VDL,2021,1.0,OWNER'S EQUITY,   A. LIABILITIES
    4. Payable to employees,VDL,2022,2.0,OWNER'S EQUITY,   A. LIABILITIES
    4. Payable to employees,HAT,2020,9.0,OWNER'S EQUITY,   A. LIABILITIES
    4. Payable to employees,HAT,2021,3.0,OWNER'S EQUITY,   A. LIABILITIES
    4. Payable to employees,HAT,2022,3.0,OWNER'S EQUITY,   A. LIABILITIES
    4. Provision for diminution in value of long-term investments,BHN,2020,-2.0,ASSETS,   B. LONG-TERM ASSETS
    4. Provision for diminution in value of long-term investments,BHN,2021,-2.0,ASSETS,   B. LONG-TERM ASSETS
    4. Provision for diminution in value of long-term investments,BHN,2022,-3.0,ASSETS,   B. LONG-TERM ASSETS
    4. Provision for diminution in value of long-term investments,SAB,2020,-444.0,ASSETS,   B. LONG-TERM ASSETS
    4. Provision for diminution in value of long-term investments,SAB,2021,-410.0,ASSETS,   B. LONG-TERM ASSETS
    4. Provision for diminution in value of long-term investments,SAB,2022,-410.0,ASSETS,   B. LONG-TERM ASSETS
    5. Held to maturity investments,BHN,2022,50.0,ASSETS,   B. LONG-TERM ASSETS
    5. Held to maturity investments,SAB,2020,81.0,ASSETS,   B. LONG-TERM ASSETS
    5. Held to maturity investments,SAB,2021,90.0,ASSETS,   B. LONG-TERM ASSETS
    5. Held to maturity investments,SAB,2022,2.0,ASSETS,   B. LONG-TERM ASSETS
    5. Long-term loan receivables,SAB,2020,4.0,ASSETS,   B. LONG-TERM ASSETS
    5. Long-term loan receivables,SAB,2021,4.0,ASSETS,   B. LONG-TERM ASSETS
    5. Short-term acrrued expenses,BHN,2020,86.0,OWNER'S EQUITY,   A. LIABILITIES
    5. Short-term acrrued expenses,BHN,2021,105.0,OWNER'S EQUITY,   A. LIABILITIES
    5. Short-term acrrued expenses,BHN,2022,165.0,OWNER'S EQUITY,   A. LIABILITIES
    5. Short-term acrrued expenses,SAB,2020,237.0,OWNER'S EQUITY,   A. LIABILITIES
    5. Short-term acrrued expenses,SAB,2021,371.0,OWNER'S EQUITY,   A. LIABILITIES
    5. Short-term acrrued expenses,SAB,2022,514.0,OWNER'S EQUITY,   A. LIABILITIES
    5. Short-term acrrued expenses,SCD,2020,6.0,OWNER'S EQUITY,   A. LIABILITIES
    5. Short-term acrrued expenses,SCD,2021,4.0,OWNER'S EQUITY,   A. LIABILITIES
    5. Short-term acrrued expenses,SCD,2022,7.0,OWNER'S EQUITY,   A. LIABILITIES
    5. Short-term acrrued expenses,SMB,2020,3.0,OWNER'S EQUITY,   A. LIABILITIES
    5. Short-term acrrued expenses,SMB,2021,6.0,OWNER'S EQUITY,   A. LIABILITIES
    5. Short-term acrrued expenses,SMB,2022,1.0,OWNER'S EQUITY,   A. LIABILITIES
    5. Short-term acrrued expenses,VCF,2020,23.0,OWNER'S EQUITY,   A. LIABILITIES
    5. Short-term acrrued expenses,VCF,2021,41.0,OWNER'S EQUITY,   A. LIABILITIES
    5. Short-term acrrued expenses,VCF,2022,27.0,OWNER'S EQUITY,   A. LIABILITIES
    5. Short-term acrrued expenses,THB,2020,0.0,OWNER'S EQUITY,   A. LIABILITIES
    5. Short-term acrrued expenses,THB,2021,0.0,OWNER'S EQUITY,   A. LIABILITIES
    5. Short-term acrrued expenses,THB,2022,0.0,OWNER'S EQUITY,   A. LIABILITIES
    5. Short-term acrrued expenses,HAT,2020,8.0,OWNER'S EQUITY,   A. LIABILITIES
    5. Short-term acrrued expenses,HAT,2021,0.0,OWNER'S EQUITY,   A. LIABILITIES
    5. Short-term acrrued expenses,HAT,2022,4.0,OWNER'S EQUITY,   A. LIABILITIES
    5. Short-term loan receivables,BHN,2020,12.0,ASSETS,   A. SHORT-TERM ASSETS
    5. Short-term loan receivables,VDL,2020,9.0,ASSETS,   A. SHORT-TERM ASSETS
    5. Treasury shares,SCD,2020,0.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
    5. Treasury shares,SCD,2021,0.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
    5. Treasury shares,SCD,2022,0.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
    6. Other long-term receivables,BHN,2020,0.0,ASSETS,   B. LONG-TERM ASSETS
    6. Other long-term receivables,BHN,2021,0.0,ASSETS,   B. LONG-TERM ASSETS
    6. Other long-term receivables,BHN,2022,0.0,ASSETS,   B. LONG-TERM ASSETS
    6. Other long-term receivables,SAB,2020,41.0,ASSETS,   B. LONG-TERM ASSETS
    6. Other long-term receivables,SAB,2021,42.0,ASSETS,   B. LONG-TERM ASSETS
    6. Other long-term receivables,SAB,2022,46.0,ASSETS,   B. LONG-TERM ASSETS
    6. Other long-term receivables,SCD,2020,7.0,ASSETS,   B. LONG-TERM ASSETS
    6. Other long-term receivables,SCD,2021,7.0,ASSETS,   B. LONG-TERM ASSETS
    6. Other long-term receivables,SCD,2022,7.0,ASSETS,   B. LONG-TERM ASSETS
    6. Other long-term receivables,VCF,2020,0.0,ASSETS,   B. LONG-TERM ASSETS
    6. Other long-term receivables,VCF,2021,0.0,ASSETS,   B. LONG-TERM ASSETS
    6. Other long-term receivables,VCF,2022,0.0,ASSETS,   B. LONG-TERM ASSETS
    6. Other long-term receivables,THB,2020,0.0,ASSETS,   B. LONG-TERM ASSETS
    6. Other long-term receivables,THB,2021,0.0,ASSETS,   B. LONG-TERM ASSETS
    6. Other long-term receivables,THB,2022,0.0,ASSETS,   B. LONG-TERM ASSETS
    6. Other long-term receivables,VDL,2020,0.0,ASSETS,   B. LONG-TERM ASSETS
    6. Other long-term receivables,VDL,2021,0.0,ASSETS,   B. LONG-TERM ASSETS
    6. Other short-term receivables,BHN,2020,255.0,ASSETS,   A. SHORT-TERM ASSETS
    6. Other short-term receivables,BHN,2021,63.0,ASSETS,   A. SHORT-TERM ASSETS
    6. Other short-term receivables,BHN,2022,98.0,ASSETS,   A. SHORT-TERM ASSETS
    6. Other short-term receivables,SAB,2020,700.0,ASSETS,   A. SHORT-TERM ASSETS
    6. Other short-term receivables,SAB,2021,679.0,ASSETS,   A. SHORT-TERM ASSETS
    6. Other short-term receivables,SAB,2022,787.0,ASSETS,   A. SHORT-TERM ASSETS
    6. Other short-term receivables,SCD,2020,1.0,ASSETS,   A. SHORT-TERM ASSETS
    6. Other short-term receivables,SCD,2021,0.0,ASSETS,   A. SHORT-TERM ASSETS
    6. Other short-term receivables,SCD,2022,0.0,ASSETS,   A. SHORT-TERM ASSETS
    6. Other short-term receivables,SMB,2020,2.0,ASSETS,   A. SHORT-TERM ASSETS
    6. Other short-term receivables,SMB,2021,3.0,ASSETS,   A. SHORT-TERM ASSETS
    6. Other short-term receivables,SMB,2022,4.0,ASSETS,   A. SHORT-TERM ASSETS
    6. Other short-term receivables,VCF,2020,945.0,ASSETS,   A. SHORT-TERM ASSETS
    6. Other short-term receivables,VCF,2021,4.0,ASSETS,   A. SHORT-TERM ASSETS
    6. Other short-term receivables,VCF,2022,731.0,ASSETS,   A. SHORT-TERM ASSETS
    6. Other short-term receivables,HAD,2020,0.0,ASSETS,   A. SHORT-TERM ASSETS
    6. Other short-term receivables,HAD,2021,0.0,ASSETS,   A. SHORT-TERM ASSETS
    6. Other short-term receivables,HAD,2022,1.0,ASSETS,   A. SHORT-TERM ASSETS
    6. Other short-term receivables,THB,2020,45.0,ASSETS,   A. SHORT-TERM ASSETS
    6. Other short-term receivables,THB,2021,13.0,ASSETS,   A. SHORT-TERM ASSETS
    6. Other short-term receivables,THB,2022,18.0,ASSETS,   A. SHORT-TERM ASSETS
    6. Other short-term receivables,VDL,2020,0.0,ASSETS,   A. SHORT-TERM ASSETS
    6. Other short-term receivables,VDL,2021,0.0,ASSETS,   A. SHORT-TERM ASSETS
    6. Other short-term receivables,VDL,2022,0.0,ASSETS,   A. SHORT-TERM ASSETS
    6. Other short-term receivables,HAT,2020,2.0,ASSETS,   A. SHORT-TERM ASSETS
    6. Other short-term receivables,HAT,2021,2.0,ASSETS,   A. SHORT-TERM ASSETS
    6. Other short-term receivables,HAT,2022,2.0,ASSETS,   A. SHORT-TERM ASSETS
    7. Foreign exchange differences,SAB,2020,27.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
    7. Foreign exchange differences,SAB,2021,27.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
    7. Foreign exchange differences,SAB,2022,37.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
    7. Other long-term liabilities,BHN,2020,100.0,OWNER'S EQUITY,   A. LIABILITIES
    7. Other long-term liabilities,BHN,2021,98.0,OWNER'S EQUITY,   A. LIABILITIES
    7. Other long-term liabilities,BHN,2022,112.0,OWNER'S EQUITY,   A. LIABILITIES
    7. Other long-term liabilities,SAB,2020,55.0,OWNER'S EQUITY,   A. LIABILITIES
    7. Other long-term liabilities,SAB,2021,55.0,OWNER'S EQUITY,   A. LIABILITIES
    7. Other long-term liabilities,SAB,2022,55.0,OWNER'S EQUITY,   A. LIABILITIES
    7. Other long-term liabilities,SCD,2020,0.0,OWNER'S EQUITY,   A. LIABILITIES
    7. Other long-term liabilities,SCD,2021,0.0,OWNER'S EQUITY,   A. LIABILITIES
    7. Other long-term liabilities,SCD,2022,0.0,OWNER'S EQUITY,   A. LIABILITIES
    7. Other long-term liabilities,SMB,2020,7.0,OWNER'S EQUITY,   A. LIABILITIES
    7. Other long-term liabilities,SMB,2021,7.0,OWNER'S EQUITY,   A. LIABILITIES
    7. Other long-term liabilities,SMB,2022,7.0,OWNER'S EQUITY,   A. LIABILITIES
    7. Other long-term liabilities,VCF,2020,0.0,OWNER'S EQUITY,   A. LIABILITIES
    7. Other long-term liabilities,VCF,2021,0.0,OWNER'S EQUITY,   A. LIABILITIES
    7. Other long-term liabilities,VCF,2022,0.0,OWNER'S EQUITY,   A. LIABILITIES
    7. Other long-term liabilities,THB,2020,12.0,OWNER'S EQUITY,   A. LIABILITIES
    7. Other long-term liabilities,THB,2021,12.0,OWNER'S EQUITY,   A. LIABILITIES
    7. Other long-term liabilities,THB,2022,12.0,OWNER'S EQUITY,   A. LIABILITIES
    7. Provision for long-term doubtful debts,SAB,2020,-39.0,ASSETS,   B. LONG-TERM ASSETS
    7. Provision for long-term doubtful debts,SAB,2021,-39.0,ASSETS,   B. LONG-TERM ASSETS
    7. Provision for long-term doubtful debts,SAB,2022,-14.0,ASSETS,   B. LONG-TERM ASSETS
    7. Provision for short-term doubtful debts (*),BHN,2020,-63.0,ASSETS,   A. SHORT-TERM ASSETS
    7. Provision for short-term doubtful debts (*),BHN,2021,-24.0,ASSETS,   A. SHORT-TERM ASSETS
    7. Provision for short-term doubtful debts (*),BHN,2022,-25.0,ASSETS,   A. SHORT-TERM ASSETS
    7. Provision for short-term doubtful debts (*),SAB,2020,-342.0,ASSETS,   A. SHORT-TERM ASSETS
    7. Provision for short-term doubtful debts (*),SAB,2021,-342.0,ASSETS,   A. SHORT-TERM ASSETS
    7. Provision for short-term doubtful debts (*),SAB,2022,-296.0,ASSETS,   A. SHORT-TERM ASSETS
    7. Provision for short-term doubtful debts (*),SCD,2020,-2.0,ASSETS,   A. SHORT-TERM ASSETS
    7. Provision for short-term doubtful debts (*),SCD,2021,-2.0,ASSETS,   A. SHORT-TERM ASSETS
    7. Provision for short-term doubtful debts (*),SCD,2022,-2.0,ASSETS,   A. SHORT-TERM ASSETS
    7. Provision for short-term doubtful debts (*),SMB,2020,-3.0,ASSETS,   A. SHORT-TERM ASSETS
    7. Provision for short-term doubtful debts (*),SMB,2021,-2.0,ASSETS,   A. SHORT-TERM ASSETS
    7. Provision for short-term doubtful debts (*),SMB,2022,-1.0,ASSETS,   A. SHORT-TERM ASSETS
    7. Provision for short-term doubtful debts (*),THB,2020,-3.0,ASSETS,   A. SHORT-TERM ASSETS
    7. Provision for short-term doubtful debts (*),THB,2021,-3.0,ASSETS,   A. SHORT-TERM ASSETS
    7. Provision for short-term doubtful debts (*),THB,2022,-3.0,ASSETS,   A. SHORT-TERM ASSETS
    7. Provision for short-term doubtful debts (*),HAT,2020,0.0,ASSETS,   A. SHORT-TERM ASSETS
    7. Provision for short-term doubtful debts (*),HAT,2021,0.0,ASSETS,   A. SHORT-TERM ASSETS
    7. Provision for short-term doubtful debts (*),HAT,2022,0.0,ASSETS,   A. SHORT-TERM ASSETS
    8. Assets awaiting resolution,SMB,2020,1.0,ASSETS,   A. SHORT-TERM ASSETS
    8. Assets awaiting resolution,SMB,2021,0.0,ASSETS,   A. SHORT-TERM ASSETS
    8. Assets awaiting resolution,SMB,2022,0.0,ASSETS,   A. SHORT-TERM ASSETS
    8. Investment and development fund,BHN,2020,1225.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
    8. Investment and development fund,BHN,2021,1533.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
    8. Investment and development fund,BHN,2022,1540.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
